 Product ID 	 Product Name              	 Detailed Marketing Product Description                           	 Cost (INR) 	 Ingredients Used                                          
101	 Margherita Pizza          	" Classic Margherita: Fresh mozzarella on a bed of tangy tomato sauce, all on our signature hand-tossed crust. "	 ₹550      	" Tomato sauce, fresh mozzarella                            "
102	 Pepperoni Pizza           	" Timeless Pepperoni Passion: A symphony of zesty pepperoni, melted mozzarella, and robust tomato sauce, baked to perfection. "	 ₹650      	" Tomato sauce, mozzarella, pepperoni                         "
103	 Veggie Delight Pizza      	" Garden of Goodness: Colorful medley of bell peppers, onions, olives, and mushrooms atop a canvas of tomato sauce and mozzarella. "	 ₹600      	" Tomato sauce, mozzarella, bell peppers, onions, olives, mushrooms "
104	 Hawaiian Pizza            	 Tropical Paradise Feast: Ham and pineapple dance harmoniously on a tropical tomato sauce and mozzarella stage. 	 ₹700      	" Tomato sauce, mozzarella, ham, pineapple                   "
105	 BBQ Chicken Pizza         	" Smoky BBQ Serenade: Grilled chicken marinated in BBQ sauce, harmonized with red onions and mozzarella on our signature crust. "	 ₹750      	" BBQ sauce, mozzarella, grilled chicken, red onions          "
106	 Meat Lovers Pizza         	" Carnivore's Dream: A meaty ensemble of pepperoni, sausage, bacon, and ham, perfectly blended with mozzarella and tomato sauce. "	 ₹800      	" Tomato sauce, mozzarella, pepperoni, sausage, bacon, ham    "
107	 Supreme Pizza             	" Supreme Symphony: A grand orchestra of flavors - pepperoni, sausage, bell peppers, onions, olives, and mushrooms, all united on a bed of tomato sauce and mozzarella. "	 ₹850      	" Tomato sauce, mozzarella, pepperoni, sausage, bell peppers, onions, olives, mushrooms "
108	 Buffalo Chicken Pizza     	" Spicy Buffalo Beat: Grilled chicken takes the stage with Buffalo sauce and blue cheese, creating a fiery dance on a mozzarella-covered crust. "	 ₹750      	" Buffalo sauce, mozzarella, grilled chicken, red onions, blue cheese "
109	 Chicken Alfredo Pizza     	" Alfredo Elegance: Creamy Alfredo sauce, grilled chicken, and broccoli come together in a culinary ballet on our signature crust. "	 ₹800      	" Alfredo sauce, mozzarella, grilled chicken, broccoli, Parmesan "
110	 Spinach and Feta Pizza    	" Mediterranean Waltz: A Mediterranean delight featuring fresh spinach, feta cheese, and garlic pirouetting on tomato sauce and mozzarella. "	 ₹700      	" Tomato sauce, mozzarella, spinach, feta cheese, garlic      "
